_vocab,accounting,pharmacy,baseball,robotics
offsetting,0.37944001186872817,0.12090775649342939,0.06158779349736011,0.1880247278593082
positive,0.1692502427787031,0.3353023621224454,0.19518856706481322,0.10859674262279904
computer,0.23641676059389446,0.17811557247992324,0.08685256164166505,0.36429960854689036
maker,0.28948136483970693,0.21421197793349517,0.06037384973629751,0.3635555822431041
dell,0.39221407353645565,0.11259046223914976,0.025761947313329717,0.27962315231508844
assets,0.4246449272753972,0.1139966236111894,0.12356773054420923,0.1304846230190265
retail,0.39511326625059745,0.24592348200560446,0.18121467094245106,0.0014620429910609128
money,0.38866805803367954,0.0305911503941452,0.23006013708999296,-0.042566446870656506
mutual,0.40381020319777416,0.23148815036771078,0.15758824194848856,0.07204585783922346
funds,0.4215529535667335,0.23827343278930477,0.21419112464449006,-0.046229268267874025
fell,0.20094758917693706,0.2128136832934961,0.07745423815812226,0.12548737881995248
billion,0.3848745391895135,0.11518928591463583,0.09233891662470205,0.19391728842987185
latest,0.1623075389789408,0.07651481281657879,0.15305209904526218,0.11912783233681418
company,0.5072392286430064,0.16514831482278397,0.08261131118106989,0.19622382809485295
institute,0.06857043841883992,0.4557373416419935,0.1907572027007589,0.35392237695566264
sales,0.37350477523961384,0.2605476262694267,0.13534329096336667,0.16898427960848772
bounced,0.12225220985021105,0.08942110580598667,0.18837940839419934,0.04256480134641858
back,0.1629501447194208,-0.023014927619003974,0.1949656001202853,0.013777422213564674
bit,0.10826869111143754,0.13647622462231976,0.16762947108152432,0.09437179661197519
claims,0.3380039347973436,0.0006736333490439037,-0.03615139313283697,0.04756388513482353
jobless,0.31393904513454424,0.13984808732846168,0.028818281209567632,0.009518573753738286
benefits,0.38903050151280993,0.2887363294002428,0.03543182245447307,0.10257382376419853
last,0.14325241743092917,-0.0003968362494846957,0.24492892197236354,-0.012130667631169594
government,0.2344417199262365,0.23703294436671393,0.0769549577409054,0.09620518271542944
indicating,0.3157140542938151,0.19217401764849446,-0.0011124779809072761,0.0955385262555354
improving,0.2029287646081197,0.20346636074422206,0.02468770152380535,0.25730327379506185
earning,0.10856703908319061,0.19039144151875004,0.36752780093669135,0.021055474517722134
danny,0.09637149352832235,0.040620987273900684,0.30811152919802665,0.10282436717698785
riley,0.2200259106120288,0.13117541143775796,0.27388666440994514,0.08169983167385558
started,-0.033972365268348875,0.05970944409655406,0.15557196391530323,0.2852026634601247
work,0.22868975749754597,0.13777935761875512,0.08842785203857646,0.30974233378504784
general,0.32074394065011314,0.2024769949669224,0.0882511027770634,0.07199592379679116
manager,0.27534390029512645,0.14877677284562357,0.31588084919902093,0.021850080515674185
commercial,0.16062232047738184,0.1762038516557701,0.0420446930997175,0.3604784369129385
real,0.23102728721983876,0.07669517949019088,0.1771631088071048,0.05206373026286276
estate,0.3912138284003966,0.18268536607566754,0.1526176224696096,-0.03414364849108014
annual,0.23038250585441603,0.23013263676505705,0.18463677136131465,0.14638417848824012
base,0.2510630016816516,0.055297313742474936,0.15252306334474036,0.14452898520650487
