_vocab,accounting,pharmacy,baseball,robotics
week,0.2193668648827632,-0.059408733862133835,0.14158821988099507,0.0535399442003716
depth,0.26632378484711927,-0.0410259665096108,0.2814996763473662,0.17901687419267043
summer,0.19701483513028417,0.09935373446603309,0.34202737241899317,-0.0034036247602283426
authorities,0.08493755223111515,0.2542740596594271,0.2181237542999165,0.171127398267721
halted,0.07015599540975449,0.2198878394013762,0.19480367784496475,0.12415490274086391
oil,0.27505919931075795,0.03676837053742484,0.2213384281895912,0.15930820383322658
export,0.27262302090184376,0.10970452374717737,0.13528866135562603,0.10637907890702841
flows,0.18335444574886164,0.16181608440196632,0.12627088582800644,0.18016858050052711
main,0.12249161683568989,0.042042270836603134,0.05593172338392638,0.1568588578923506
pipeline,0.18948922233187615,0.1395615228682299,0.16249380914070471,0.24563468173816644
southern,0.1302649624887489,0.16781966126192893,0.21000117851639521,0.04443454729339825
iraq,0.306558169381409,0.1322963538676575,0.0925343193521521,0.007782583111823769
intelligence,0.3903144582686121,0.16084101664143913,0.14543596858950233,0.16685824813996353
showed,0.12420741533356845,0.29630980546790914,0.21853570630455435,-0.005363254528713664
rebel,0.20394364370539927,0.0809440435093749,0.12514049048910075,0.1514134053318963
militia,0.21496913768810927,0.12547067549236857,0.1604585259781361,0.08154433057170098
could,0.10173396336323805,0.1360467929342459,0.07098557653589149,0.1282844736192139
strike,0.1710890532207146,-0.014612184777769746,0.1436809228873095,0.09067840238578534
official,0.22651375918012773,0.12697642804433318,0.2111007755996011,0.11071402503600082
said,0.28635942165194456,0.219196864740892,0.0730860608298773,0.1953791404511504
world,-0.0036478094111908914,0.036869000240282855,0.20983151427390476,0.2163971195743695
toppling,0.10366547928539648,0.030025336999279024,0.13212798214994048,0.12182296539642347
records,0.08557507207420845,0.29277904502366225,0.2513599758481568,0.1582363627962406
straining,-0.013484660386536862,0.3458144526471039,0.1750031233545919,0.23859960624733653
present,0.13213839560812182,0.1497084753306585,0.12086516208018247,0.13963516867541534
new,0.06298326134842538,0.10636404783332812,0.09360065020957302,0.20725978399434525
economic,0.22717318503786058,0.11920311639057715,0.19650531044960162,0.14388418026009162
menace,-0.04470916532364302,0.05943155108232364,0.12423401026786568,0.1419705763796147
barely,-0.00952498745329726,0.14772043966973974,0.25634398266627106,0.0988945108439135
three,0.1638778536224251,0.0020967724004485894,0.1334036894420254,0.11106892926485797
months,0.275476350580898,0.05112584252289771,0.08291515328330132,0.03495025312036008
us,0.3395226728840457,0.05988301702229127,0.0672562439962095,0.0353521112374135
presidential,0.17567364067140215,0.11117910712022873,0.09629813311565255,0.08649772349387032
stocks,0.17391148211286292,0.19362951514629526,0.08185662867373522,0.15549905304908093
ended,0.051107863311973076,0.12134171198713888,0.18367677255131556,0.09561165499629912
slightly,0.10973169174455032,0.24481458441954154,-0.012934080302959405,0.10156364390323308
higher,0.26157178305591067,0.21417862008713456,0.12055832325426667,0.07202289543046116
friday,0.15265738715665025,0.17216696234610962,0.1805111842192514,0.018709413645262022
stayed,0.1131814847367159,-0.011385198748849194,0.20592744773632501,0.02065382264466968
near,0.062159388673665175,0.16416919947160505,0.0847384059821657,0.11383716891233078
lows,0.16225450060352345,-0.024033564629233575,0.24505282779221718,0.11806535592632413
year,0.21780578547441262,0.06024138693446342,0.1910195778738704,0.15358066191636227
surged,0.2275995835097868,0.10110653946480297,0.005007308662366992,0.14344368763790957
past,0.12413593633383685,0.012858438292861487,0.1796235558683424,0.1518534308837024
offsetting,0.31998888480128834,0.12090861215583479,0.08194829575168092,0.20737450054367165
positive,0.1833131824316472,0.35742633526946876,0.1795270893379564,0.09175876263555531
computer,0.2287245582073591,0.20192780132971483,0.061794192682465054,0.36289168810978817
maker,0.26461008310099704,0.21537631855332598,0.06776183406521134,0.3722742857485101
