,seafood,burger,sushi,chinese_food,dessert,complained,vivid,breast,own,uk
preface,0.36031343601424154,0.2563509859122429,0.24975483603133733,0.4152097451217665,0.21950326429969402,0.3121666013849814,0.27461455029570114,0.24446055403844638,0.3410959203961205,0.3702300191631807
nowadays,0.3935086003084807,0.2225457178351915,0.38112879360983337,0.4656431100619826,0.27614462128178313,0.24742083048782543,0.3597017342206408,0.23753381416566596,0.16718867897326134,0.36100763559763727
foccacia,0.2591715671278392,0.26725871816207275,0.17994035878982556,0.19944952656891674,0.4782555939185022,0.3698805987766007,0.41712136146537165,0.18318870160455433,0.2592300434999191,0.3078058647824965
young_lady,0.28902271924856543,0.1988724559628017,0.22608571593508678,0.2651328547661629,0.2911856541448468,0.352763356146588,0.2605861588160885,0.18047398658480895,0.5464400563451124,0.4202050036175881
overpricy,0.40417147898772493,0.3186786090082174,0.42056217865145495,0.3608101178195029,0.4381403817362964,0.28488278151621516,0.38869576591932886,0.3537281943476192,0.3995251915620002,0.47450183148596264
dipping_sauce,0.3634778930596281,0.41851380407709904,0.3070412846330882,0.32272843669912915,0.3648781097196965,0.24677485138875282,0.29102343876724157,0.3870489328818505,0.21469270157863768,0.31228902894996596
citrusy,0.300374512859702,0.16041477831754056,0.21001531892725617,0.28868616323468327,0.44843615412432963,0.2829246498822324,0.5231746711144623,0.4046053270713825,0.16151999029420885,0.4162414057051343
meal,0.39133941642674275,0.2929791720113021,0.32230838019420244,0.33602997517559885,0.48366366041618286,0.3272895384682086,0.2769394254421842,0.3419895985120805,0.2923477057866544,0.29708289534003496
popular,0.27984768706050556,0.19938691042344006,0.2976814570431839,0.26478853503047944,0.28602678339116916,0.19080099479563895,0.2661387003488862,0.2938436909497688,0.29080270083244436,0.38609344896382874
price_tag,0.1902580823228422,0.32512066323681704,0.3983605532758201,0.33337575513832457,0.3199699643298038,0.14389331044124395,0.3947364837118255,0.3723444744690141,0.28287221169808496,0.4594126120535738
rudely,0.18512863732809445,0.20537331392233507,0.26968452702882745,0.22996309846843396,0.31405705863291633,0.32798990169221826,0.28107200606761423,0.20488881441358991,0.3931565830361081,0.2827523140758096
learn,0.27884152254484884,0.22484359524800973,0.18086077235744144,0.3812591135618323,0.1798914389763368,0.3774723773536365,0.2914683206405381,0.19965939107607833,0.4129208150874486,0.29473523918782885
customer_satisfaction,0.28686530658765846,0.338756379959253,0.3607387456987529,0.4265187244875566,0.07790941552751403,0.314383574415644,0.3323934424345774,0.25801355029484097,0.40854657133483463,0.46734230566257257
baggie,0.5529943679313125,0.28625289618067407,0.3375362220020257,0.26413345547677064,0.3453974327465246,0.2735111557856082,0.4809000858077096,0.3985487351767332,0.3748079666290527,0.39554386809547337
syrup,0.21726733027091974,0.24949896782149544,0.18831306907963485,0.3009885964876498,0.5154556627511248,0.1267330801746175,0.39940540447691997,0.2746420345417106,0.3614944399531865,0.30106665818295886
manifest,0.20108876701171596,0.3860216283790699,0.25119315921282565,0.3649014721970628,0.24554351802409363,0.40807514224339536,0.43989856272783034,0.29859119407951557,0.4939874276464593,0.339090915288683
biscotti,0.28535064011164224,0.30149744173475307,0.17868320753371214,0.20186657640370054,0.5398069591461399,0.39728135679251286,0.44297829948024353,0.25205954937932584,0.29384688833548167,0.26151333629975837
tyson,0.3639215543735671,0.3490210537015865,0.3170199818328476,0.2375305051861356,0.22632005398406024,0.43826256641304234,0.26722983081033597,0.4088592057553438,0.671693591904596,0.44543176173256105
brit,0.20448511485653154,0.29995026629157095,0.35954325390511066,0.2179366813979739,0.38857723395680055,0.4672863957439693,0.23111359652861144,0.23776234181519604,0.4849309655924017,0.584600507692401
overdressed,0.3422573555629721,0.3585266886764047,0.24219392578587,0.19138871834619967,0.4142507579006985,0.23999627663389328,0.4787391574821694,0.43577695032688735,0.33613399217823886,0.42315462989361885
yelper,0.20905026365346133,0.15900837934621756,0.21828030341370325,0.34894569160886835,0.3250971255964487,0.35218656411818045,0.34052781020750883,0.3943998313545343,0.4740416729325318,0.3976407761707925
rectangle,0.22560056269992812,0.2930858441973785,0.2772356281313625,0.17618935397254357,0.2771033791270181,0.29486385583633107,0.41853517601337875,0.3589767564468559,0.18072030205014353,0.39802708060695224
steady,0.25742134924729204,0.22905482531239005,0.3176106065889694,0.24969874506782103,0.27267303739535365,0.26179111628784973,0.270365535071622,0.28187967920943724,0.34511316909049256,0.31660627376571454
accompaniment,0.4509046109223373,0.22145441936848476,0.2875216369508441,0.2239451661014184,0.4121858774695316,0.1621799815069348,0.5015661479774571,0.5282750083287123,0.2924613571067634,0.3333416459120255
dust,0.16412380505046173,0.2980352065464841,0.17030933545246238,0.2367782085002989,0.37956494586087386,0.3405306270259106,0.4513714300342553,0.2971568253850655,0.25394357538949963,0.31844867625089585
nvm,0.19872891486960634,0.1962480819632758,0.29059763459257454,0.3565338311943841,0.33285805200729346,0.3460244406744735,0.4183210947702885,0.372041654380804,0.5174155464357771,0.27926386853548957
peanut,0.34082372565988384,0.2992439449153737,0.15040691842707712,0.36116871645385423,0.35781054271461954,0.3379652187913747,0.33077552577466846,0.393494258605463,0.25382152720652873,0.2804081049326146
frequent,0.21945905829199452,0.2629649051893423,0.3484465507781936,0.27278787605465066,0.18192580600969213,0.28197338398516814,0.2987873915817714,0.19208818928254384,0.4166398342762567,0.32526030912404247
strap,0.237725366058175,0.36621769498357853,0.28683950417339205,0.20842871895590684,0.24013769731264187,0.3325695677406851,0.3987998788142669,0.3930564535602726,0.3796087542741859,0.4157341194577883
spirit,0.20192946584118301,0.2272380011247362,0.2607539671503376,0.2640347623607601,0.28138778075002785,0.298240985016666,0.38259944955631586,0.3327592882850488,0.3784212318729641,0.39516094625433085
laziness,0.3160912860656065,0.23912985467311343,0.3539816693379171,0.3520068651239347,0.26774071619812806,0.2805937509612728,0.3899265695292674,0.24969236823113578,0.34335540165998274,0.27346183609153246
pubic,0.2669695398269511,0.2642023745766399,0.2687168543193397,0.27664647153771127,0.29374587747720815,0.2794840234790538,0.5056603929347373,0.3975591009346435,0.25923225977798653,0.315300570596088
credit,0.29909130594656413,0.27416119053976107,0.3067690351532541,0.29989411966543295,0.3278027065523865,0.33444102141503235,0.2431459245793647,0.23719588481054185,0.4108110674874595,0.3689636520333593
fairly_quickly,0.1731527920854985,0.2624545057416743,0.333082663095877,0.2540151393452316,0.25364775611144097,0.35110390416362947,0.31889894518472744,0.3355830288861825,0.31516708416890354,0.2787170304640088
homage,0.21983619058328294,0.2500579831475719,0.3150099950267346,0.31866046600779707,0.40495503184234805,0.31013918376475774,0.5392751554719085,0.3187122317213028,0.3648216442327995,0.3526363655558082
sandy,0.5100246076113608,0.2310700128766429,0.21783327952787143,0.10600747779356087,0.3689559473423767,0.36222713048727845,0.3461525916519454,0.16256272520029935,0.45097280042335236,0.34974941244485386
ella,0.3358729883481627,0.18599168393422302,0.32684539830803944,0.24974031120737683,0.3521381486719646,0.48745255309583585,0.31420896635452383,0.18664930992773626,0.5539547893570332,0.36475831028243555
public,0.20963593726481386,0.2492212535649812,0.16452579286870173,0.25976734855914707,0.17837384218206914,0.20659541732096984,0.2963305485239517,0.3284118757223306,0.4553781075465659,0.43918061053091684
unremarkable,0.32558261224801677,0.2231074744119307,0.23890338121467275,0.2571571779603253,0.2856799475928669,0.2336185300504943,0.3961935518548685,0.2429760963412331,0.22521813734717114,0.4573443478500778
rightfully,0.27965078784569686,0.31414003113845035,0.2544173725470485,0.37992540650926016,0.2620543191347554,0.4261924366807444,0.4344216029496689,0.3161238879821147,0.40957425045453705,0.46327815229365943
yass,0.275965055149552,0.163555780062011,0.2722266282887008,0.2661253800370644,0.22267029138646574,0.21687728567257916,0.4525647128212886,0.1526407790421667,0.43838994467745107,0.5149757326629544
alphabet,0.1831532196398936,0.17624521901216605,0.28609083082850123,0.3683446979623689,0.3020968192985028,0.38490288733029365,0.4865024717539844,0.3146605462241666,0.208410387047352,0.44002900939274936
living_social,0.27689269360237995,0.08018202990847796,0.3344444052686887,0.35920956624562383,0.3849202376207665,0.1569996932305161,0.2224855663301217,0.33653579046458637,0.3091267917275532,0.3903707400630832
