,seafood,burger,sushi,chinese_food,dessert,complained,vivid,breast,own,uk
abomination,0.2425340436398983,0.3013783790171146,0.09759614448994398,0.24360697641968726,0.25214014835655685,0.25310767367482184,0.26818945109844206,0.23285435996949674,0.25494947060942647,0.19131539203226566
aboriginal,0.5562966465950012,0.5627619028091431,0.1134289801120758,0.40505313873291016,0.5337322354316711,0.5880261659622192,0.5596817135810852,0.5155583024024963,0.5477250218391418,0.40662693977355957
abound,0.3581368952989578,0.37170117497444155,0.15963600650429724,0.26530407667160033,0.35508846044540404,0.4048311531543732,0.41493359208106995,0.35938356518745423,0.4389785021543503,0.3097223073244095
abrasive,0.2769408069550991,0.21241563819348813,0.2576296661049127,0.20772923864424225,0.26205009371042254,0.167289911583066,0.20375344231724737,0.20086704306304454,0.17062422297894955,0.2026543915271759
abrupt,0.5138581395149231,0.7132366895675659,0.08743772655725479,0.31285372376441956,0.6394928693771362,0.731905460357666,0.8074108362197876,0.5980032086372375,0.7180304527282715,0.4638875424861908
abruptly,0.473532110452652,0.5830575227737427,0.14324307441711426,0.26679155230522156,0.5597179532051086,0.5533509850502014,0.6759238839149475,0.5592984557151794,0.5583654046058655,0.4220404028892517
absence,0.4832821488380432,0.6429542303085327,0.03376632183790207,0.23277834057807922,0.5193593502044678,0.8358229398727417,0.703569769859314,0.6503520607948303,0.6937597393989563,0.3918277323246002
absent,0.4319775402545929,0.5889164209365845,-0.00881919451057911,0.20642037689685822,0.48012909293174744,0.7245195508003235,0.6364349126815796,0.6368345022201538,0.5836921334266663,0.3698420524597168
absolute,0.529534101486206,0.6966584324836731,0.11069998890161514,0.2752835750579834,0.6243749856948853,0.7488386631011963,0.7978368401527405,0.5853569507598877,0.7551490068435669,0.484572172164917
absolute_favorite,0.40897655114531517,0.42741762548685075,0.20311844311654567,0.3919267043471336,0.39911357462406155,0.3760698780417442,0.3942123666405678,0.28108182922005653,0.4418468713760375,0.35319597125053404
absolutely,0.48790502548217773,0.6893481016159058,0.08629243820905685,0.24877166748046875,0.5744779706001282,0.6659398674964905,0.7608556151390076,0.5636940002441406,0.6627385020256042,0.4815717041492462
absolutley,0.37341653257608415,0.3353323817253114,0.29059350527822975,0.28868961632251744,0.37175536751747135,0.32142228633165365,0.3302812278270722,0.3107917711138726,0.38479408025741585,0.30850525051355365
absorb,0.49541959166526794,0.6674728989601135,0.08943276852369308,0.266878217458725,0.5781472325325012,0.8725388050079346,0.7616503238677979,0.5963860154151917,0.8045142889022827,0.45479172468185425
abstain,0.45074723064899447,0.2596742197871208,0.5434440627694129,0.08622085824608802,0.2698821574449539,0.24804227501153947,0.2454221770167351,0.2682542949914932,0.2787336930632591,0.31196179091930387
absurd,0.5050343871116638,0.6716763377189636,0.1061994656920433,0.291389137506485,0.604318380355835,0.6735473275184631,0.7719108462333679,0.5846971273422241,0.6810440421104431,0.4500652849674225
absurdly,0.33309340178966523,0.3640921443700791,0.21049981415271757,0.23935228884220122,0.37300176322460177,0.3034743770956993,0.43228529989719394,0.3377694368362427,0.33472401797771456,0.2946356147527695
abt,0.28921968340873716,0.35503278076648714,0.15497911386191843,0.23771750032901762,0.33981774747371674,0.3253284841775894,0.3324492543935776,0.30620118528604506,0.3207992106676102,0.3169825315475464
abundance,0.5273318290710449,0.6723992824554443,0.07801224291324615,0.2369924932718277,0.5432871580123901,0.8343256115913391,0.7378164529800415,0.6498376727104187,0.7084208130836487,0.40235254168510437
abundant,0.5144438147544861,0.6587182879447937,0.06257068365812302,0.22979864478111267,0.5386438965797424,0.8763678669929504,0.7755289077758789,0.6451425552368164,0.7263572812080383,0.42066898941993713
